source,line_no,difficulty,question_text,option_a,option_b,option_c,option_d,correct_answer_old,correct_index,correct_option_text,explanation,options_parse_error
questions_seed_300.sql,35,elementary,The sun ___ in the east.,A. rise,B. rises,C. rising,D. rose,B,1,B. rises,自然現象習慣用現在式，the sun 為單數用 rises。,
questions_seed_300.sql,36,elementary,Birds can ___.,A. fly,B. flies,C. flying,D. flew,A,0,A. fly,情態動詞 can 後接原形 fly。,
questions_seed_300.sql,37,elementary,I want ___ apple juice.,A. a,B. an,C. some,D. any,C,2,C. some,不可數的果汁表示「一些」用 some（肯定句）。,
questions_seed_300.sql,38,elementary,There isn't ___ milk in the fridge.,A. some,B. any,C. many,D. a,B,1,B. any,否定句中「任何」用 any。,
questions_seed_300.sql,39,elementary,My father ___ tall.,A. am,B. is,C. are,D. be,B,1,B. is,My father 第三人稱單數用 is。,
questions_seed_300.sql,40,elementary,These ___ not my books.,A. is,B. are,C. am,D. be,B,1,B. are,these 複數用 are。,
questions_seed_300.sql,41,elementary,___ you OK?,A. Is,B. Are,C. Am,D. Be,B,1,B. Are,主詞 you 配 Are。,
questions_seed_300.sql,42,elementary,Welcome ___ our school!,A. for,B. to,C. at,D. on,B,1,B. to,Welcome to + 地點為固定用法。,
questions_seed_300.sql,43,elementary,Nice ___ meet you.,A. too,B. to,C. for,D. of,B,1,B. to,初次見面固定句 Nice to meet you。,
questions_seed_300.sql,44,elementary,See you ___.,A. tomorrow,B. tomorrows,C. in tomorrow,D. at tomorrow,A,0,A. tomorrow,明天見用 tomorrow。,
questions_seed_300.sql,45,elementary,___ is this? — It's a ruler.,A. What,B. Who,C. Where,D. How,A,0,A. What,詢問物品是什麼用 What。,
questions_seed_300.sql,46,elementary,___ is he from? — Taiwan.,A. What,B. Where,C. When,D. Why,B,1,B. Where,詢問來自哪裡用 Where。,
questions_seed_300.sql,47,elementary,I like ___ because it's sweet.,A. candy,B. salt,C. spicy,D. sour,A,0,A. candy,甜的東西符合 candy。,
questions_seed_300.sql,48,elementary,We wear coats when it's ___.,A. hot,B. cold,C. sunny,D. warm,B,1,B. cold,穿外套通常是天冷時。,
questions_seed_300.sql,49,elementary,Monday comes ___ Sunday.,A. before,B. after,C. at,D. on,B,1,B. after,星期一在星期日之後。,
questions_seed_300.sql,50,elementary,There are seven ___ in a week.,A. hours,B. days,C. months,D. years,B,1,B. days,一週有七天 days。,
questions_seed_300.sql,51,elementary,January is the first ___ of the year.,A. week,B. day,C. month,D. season,C,2,C. month,一月是一年中的第一個月。,
questions_seed_300.sql,52,elementary,Red and yellow make ___.,A. green,B. orange,C. purple,D. black,B,1,B. orange,紅加黃成橙色（題目常識）。,
questions_seed_300.sql,53,elementary,A dog says ___.,A. meow,B. woof,C. moo,D. oink,B,1,B. woof,狗叫聲常用 woof。,
questions_seed_300.sql,54,elementary,An elephant is ___.,A. small,B. tiny,C. large,D. short,C,2,C. large,大象體型大，選 large。,
questions_seed_300.sql,55,elementary,We use ___ to cut paper.,A. a spoon,B. a fork,C. scissors,D. a plate,C,2,C. scissors,剪刀剪裁紙張。,
questions_seed_300.sql,56,elementary,You read books in the ___.,A. kitchen,B. classroom,C. library,D. gym,C,2,C. library,在圖書館閱讀。,
questions_seed_300.sql,57,elementary,Doctors work in a ___.,A. school,B. hospital,C. farm,D. zoo,B,1,B. hospital,醫師在醫院工作。,
questions_seed_300.sql,58,elementary,An orange is usually ___.,A. blue,B. orange,C. black,D. white,B,1,B. orange,橘子通常橙色。,
questions_seed_300.sql,59,elementary,We sleep in the ___.,A. kitchen,B. garden,C. bedroom,D. street,C,2,C. bedroom,在臥房睡覺。,
questions_seed_300.sql,60,elementary,The opposite of 'big' is ___.,A. large,B. huge,C. small,D. tall,C,2,C. small,big 的反義是 small。,
questions_seed_300.sql,61,elementary,12 minus 5 equals ___.,A. five,B. six,C. seven,D. eight,C,2,C. seven,12-5=7。,
questions_seed_300.sql,62,elementary,Which season is the hottest?,A. spring,B. summer,C. fall,D. winter,B,1,B. summer,通常夏季最熱。,
questions_seed_300.sql,63,elementary,You drink soup with a ___.,A. knife,B. spoon,C. chopsticks,D. cup,B,1,B. spoon,湯一般用湯匙。,
questions_seed_300.sql,64,elementary,A triangle has ___ sides.,A. two,B. three,C. four,D. five,B,1,B. three,三角形有三邊。,
questions_seed_300.sql,65,elementary,We celebrate Christmas in ___.,A. July,B. December,C. March,D. June,B,1,B. December,聖誕節在十二月。,
questions_seed_300.sql,66,elementary,A week has ___ days.,A. five,B. six,C. seven,D. eight,C,2,C. seven,一週七天。,
questions_seed_300.sql,67,elementary,The first month is ___.,A. February,B. January,C. March,D. April,B,1,B. January,第一個月是一月。,
questions_seed_300.sql,68,elementary,"If you are thirsty, you should ___.",A. sleep,B. drink water,C. run,D. sing,B,1,B. drink water,口渴應喝水。,
questions_seed_300.sql,69,elementary,Good night means we say it ___.,A. in the morning,B. before sleep,C. at lunch,D. in class,B,1,B. before sleep,晚安在睡前說。,
questions_seed_300.sql,70,elementary,We write with a ___.,A. plate,B. pen,C. spoon,D. chair,B,1,B. pen,用筆書寫。,
questions_seed_300.sql,71,elementary,Which animal can swim?,A. bird only,B. fish,C. only cats,D. only cows,B,1,B. fish,魚會游泳。,
questions_seed_300.sql,72,elementary,Please ___ your teacher.,A. ignore,B. respect,C. shout at,D. fight,B,1,B. respect,應尊敬老師。,
questions_seed_300.sql,73,elementary,___ comes after Tuesday.,A. Monday,B. Wednesday,C. Sunday,D. Friday,B,1,B. Wednesday,週三在週二之後。,
questions_seed_300.sql,74,elementary,We eat rice with ___.,A. only hands in class,B. chopsticks in many places,C. never,D. shoes,B,1,B. chopsticks in many places,許多地區用筷子吃飯。,
questions_seed_300.sql,75,elementary,___ means 'Not bad.' in many chats.,A. Terrible,B. So-so,C. Perfect,D. Excellent,B,1,B. So-so,So-so 表示普通、還可以。,
questions_seed_300.sql,76,elementary,Turn left means go to the ___.,A. right side,B. left side,C. back only,D. sky,B,1,B. left side,左轉即往左邊。,
questions_seed_300.sql,77,junior,"If it rains tomorrow, we ___ the picnic.",A. cancel,B. cancelled,C. have cancelled,D. will cancel,D,3,D. will cancel,第一條件句：if + 現在簡單，主句用未來 will。,
questions_seed_300.sql,78,junior,She ___ English for five years.,A. studies,B. has studied,C. studied,D. is studying,B,1,B. has studied,for + 一段時間表從過去持續至今，常用現在完成式。,
questions_seed_300.sql,79,junior,"By next July, he ___ here for ten years.",A. lives,B. will live,C. will have lived,D. lived,C,2,C. will have lived,By + 未來時間點表「到那時將已…」，用未來完成式。,
questions_seed_300.sql,80,junior,I wish I ___ taller.,A. am,B. was,C. were,D. be,C,2,C. were,wish 後假設與現在事實相反，be 動詞常用 were。,
questions_seed_300.sql,81,junior,It's time we ___ home.,A. go,B. went,C. gone,D. going,B,1,B. went,It's time (that) + 過去式表「該是…的時候了」。,
questions_seed_300.sql,82,junior,The book ___ by millions of readers.,A. reads,B. is read,C. was reading,D. has read,B,1,B. is read,書被閱讀，被動語態。,
questions_seed_300.sql,83,junior,He decided ___ abroad.,A. study,B. studying,C. to study,D. studied,C,2,C. to study,decide 後接不定詞 to study。,
questions_seed_300.sql,84,junior,She is interested ___ music.,A. on,B. at,C. in,D. for,C,2,C. in,be interested in 為固定搭配。,
questions_seed_300.sql,85,junior,Neither Tom nor his brothers ___ coming.,A. is,B. are,C. was,D. be,B,1,B. are,Neither nor 動詞與最近主詞 brothers 一致。,
questions_seed_300.sql,86,junior,Not only Jane but also her friends ___ there.,A. was,B. were,C. is,D. be,B,1,B. were,Not only but also 動詞與較近主詞 friends 一致。,
questions_seed_300.sql,87,junior,The news ___ surprising.,A. are,B. were,C. is,D. be,C,2,C. is,news 為不可數，視為單數。,
questions_seed_300.sql,88,junior,Mathematics ___ my favorite subject.,A. are,B. were,C. is,D. be,C,2,C. is,學科 mathematics 當單數。,
questions_seed_300.sql,89,junior,"Few students finished it; ___, most gave up.",A. therefore,B. moreover,C. however,D. for example,C,2,C. however,語意轉折，用 however。,
questions_seed_300.sql,90,junior,"She runs fast; ___, she won the race.",A. but,B. therefore,C. although,D. unless,B,1,B. therefore,因果：跑得快因此獲勝，用 therefore。,
questions_seed_300.sql,91,junior,"___ it was cold, we went swimming.",A. Because,B. Although,C. If,D. Unless,B,1,B. Although,儘管冷還是去游泳，讓步用 Although。,
questions_seed_300.sql,92,junior,You ___ smoke here; it's forbidden.,A. must,B. mustn't,C. should,D. might,B,1,B. mustn't,禁止用 mustn't。,
questions_seed_300.sql,93,junior,You ___ see a doctor if the pain continues.,A. mustn't,B. should,C. might not,D. couldn't,B,1,B. should,建議應該看醫生用 should。,
questions_seed_300.sql,94,junior,He speaks ___ he were an expert.,A. even if,B. as though,C. unless,D. until,B,1,B. as though,好像、彷彿用 as though / as if。,
questions_seed_300.sql,95,junior,No sooner ___ than the phone rang.,A. he sat down,B. had he sat down,C. he had sat down,D. did he sat down,B,1,B. had he sat down,No sooner 倒裝且過去完成。,
questions_seed_300.sql,96,junior,Scarcely ___ when the lights went out.,A. the show began,B. had the show begun,C. did the show began,D. the show had begun,B,1,B. had the show begun,Scarcely...when 結構常用過去完成倒裝。,
questions_seed_300.sql,97,junior,I'd rather you ___ now.,A. leave,B. left,C. leaving,D. to leave,B,1,B. left,would rather + 子句表對他人行為願望時常用過去式。,
questions_seed_300.sql,98,junior,"If I ___ you, I would apologize.",A. am,B. was,C. were,D. had been,C,2,C. were,與現在事實相反的第二條件 if I were you。,
questions_seed_300.sql,99,junior,The man ___ wallet was stolen reported it.,A. who,B. whom,C. whose,D. which,C,2,C. whose,所有格關係代名詞 whose。,
questions_seed_300.sql,100,junior,This is the best film ___ I have ever seen.,A. which,B. that,C. what,D. who,B,1,B. that,先行詞有最高級修飾時關係代名詞常用 that。,
questions_seed_300.sql,101,junior,"He has three brothers, all of ___ are doctors.",A. them,B. which,C. whom,D. who,C,2,C. whom,介詞 + whom 指人（brothers）。,
questions_seed_300.sql,102,junior,She suggested that he ___ early.,A. leave,B. leaves,C. left,D. leaving,A,0,A. leave,suggest that + 原形動詞（英式／正式）或 should leave。,
questions_seed_300.sql,103,junior,It's essential that he ___ on time.,A. be,B. is,C. was,D. will be,A,0,A. be,essential that + (should) + 原形。,
questions_seed_300.sql,104,junior,Hardly ___ when she started to cry.,A. the movie began,B. had the movie begun,C. did the movie began,D. the movie had begun,B,1,B. had the movie begun,Hardly...when 與過去完成倒裝。,
questions_seed_300.sql,105,junior,So difficult ___ that nobody solved it.,A. the problem was,B. was the problem,C. did the problem be,D. the problem is,B,1,B. was the problem,So + 形／副 前置倒裝。,
questions_seed_300.sql,106,junior,Not until yesterday ___ the truth.,A. I knew,B. did I know,C. I had known,D. had I knew,B,1,B. did I know,Not until 開頭需倒裝。,
questions_seed_300.sql,107,junior,The cake smells ___.,A. nicely,B. good,C. well,D. best,B,1,B. good,感官動詞 smell 後接形容詞 good。,
questions_seed_300.sql,108,junior,He felt ___ about failing the exam.,A. badly,B. bad,C. worst,D. badder,B,1,B. bad,feel 後接形容詞 bad。,
questions_seed_300.sql,109,junior,She looked ___ at him.,A. angry,B. angrily,C. anger,D. angrier,B,1,B. angrily,修飾動詞 look 用副詞 angrily。,
questions_seed_300.sql,110,junior,I look forward ___ from you.,A. to hear,B. to hearing,C. hearing,D. hear,B,1,B. to hearing,look forward to + 動名詞。,
questions_seed_300.sql,111,junior,She accused him ___ lying.,A. for,B. of,C. with,D. about,B,1,B. of,accuse someone of + 動名詞。,
questions_seed_300.sql,112,junior,You'd better ___ now.,A. to leave,B. leave,C. leaving,D. left,B,1,B. leave,had better 後接動詞原形。,
questions_seed_300.sql,113,junior,It's no use ___ over spilt milk.,A. cry,B. to cry,C. crying,D. cried,C,2,C. crying,It's no use + 動名詞。,
questions_seed_300.sql,114,junior,The problem ___ at the meeting yesterday.,A. discusses,B. was discussed,C. discussed,D. is discussing,B,1,B. was discussed,問題被討論，過去被動。,
questions_seed_300.sql,115,junior,The teacher made the students ___ quietly.,A. to sit,B. sit,C. sitting,D. sat,B,1,B. sit,make + 受詞 + 原形動詞。,
questions_seed_300.sql,116,junior,Let me ___ you with your bags.,A. to help,B. help,C. helping,D. helped,B,1,B. help,let + 受詞 + 原形動詞。,
questions_seed_300.sql,117,junior,He used ___ in Paris.,A. living,B. to live,C. live,D. lived,B,1,B. to live,used to + 原形表過去習慣。,
questions_seed_300.sql,118,junior,The boy ___ window was broken must pay.,A. who,B. whom,C. whose,D. which,C,2,C. whose,男孩之窗戶，用 whose。,
questions_seed_300.sql,119,junior,This is the house ___ Shakespeare was born.,A. which,B. where,C. that,D. what,B,1,B. where,地點先行詞用 where。,
questions_seed_300.sql,120,junior,I don't know ___ he will come.,A. if,B. that,C. what,D. which,A,0,A. if,whether/if 引導名詞子句表「是否」。,
questions_seed_300.sql,121,junior,Tell me ___ you want.,A. what,B. that,C. which,D. what that,A,0,A. what,疑問詞 what 作 want 的受詞。,
questions_seed_300.sql,122,junior,___ breaks the rules will be punished.,A. Whoever,B. Who,C. Whom,D. Whose,A,0,A. Whoever,無論誰違規，用 whoever。,
questions_seed_300.sql,123,junior,"___ difficult the task is, we must finish it.",A. However,B. Whatever,C. Although,D. Though,A,0,A. However,However + 形／副 表「無論多…」。,
questions_seed_300.sql,124,junior,He is ___ smart that everyone admires him.,A. so,B. such,C. very,D. too,A,0,A. so,so...that 結果子句。,
questions_seed_300.sql,125,junior,It was ___ a cold day that we stayed inside.,A. so,B. such,C. very,D. much,B,1,B. such,such + a + 形 + 名。,
questions_seed_300.sql,126,junior,"By the time we arrived, the film ___.",A. starts,B. had started,C. has started,D. was starting,B,1,B. had started,動作發生在 arrived 之前，過去完成。,
questions_seed_300.sql,127,junior,She ___ the essay before the deadline.,A. has finished,B. had finished,C. finished,D. finishes,B,1,B. had finished,在過去某點之前已完成，過去完成。,
questions_seed_300.sql,128,junior,"If I ___ harder, I would have passed.",A. study,B. studied,C. had studied,D. have studied,C,2,C. had studied,與過去事實相反的第三條件。,
questions_seed_300.sql,129,junior,The letter ___ last week.,A. sends,B. was sent,C. is sending,D. has sent,B,1,B. was sent,信被寄出，過去被動。,
questions_seed_300.sql,130,junior,"He enjoys ___, not to be read to.",A. to read,B. reading,C. read,D. reads,B,1,B. reading,enjoy + 動名詞。,
questions_seed_300.sql,131,junior,Would you mind ___ the door?,A. close,B. closing,C. to close,D. closed,B,1,B. closing,mind + 動名詞。,
questions_seed_300.sql,132,junior,It's worth ___ again.,A. try,B. trying,C. to try,D. tried,B,1,B. trying,worth + 動名詞。,
questions_seed_300.sql,133,junior,She denied ___ the money.,A. steal,B. stealing,C. to steal,D. stole,B,1,B. stealing,deny + 動名詞。,
questions_seed_300.sql,134,junior,I can't afford ___ a new car.,A. buy,B. to buy,C. buying,D. bought,B,1,B. to buy,afford + to + 原形。,
questions_seed_300.sql,135,junior,She reminded me ___ the lights.,A. turn off,B. to turn off,C. turning off,D. of turn off,B,1,B. to turn off,remind + 受詞 + to + 原形。,
questions_seed_300.sql,136,junior,He congratulated me ___ the prize.,A. for winning,B. on winning,C. to win,D. of winning,B,1,B. on winning,congratulate on + 動名詞。,
questions_seed_300.sql,137,junior,She apologized ___ rude.,A. for being,B. to be,C. of being,D. about be,A,0,A. for being,apologize for + 動名詞。,
questions_seed_300.sql,138,junior,I'm thinking ___ abroad next year.,A. about going,B. to go,C. of go,D. going,A,0,A. about going,think about + 動名詞。,
questions_seed_300.sql,139,junior,He succeeded ___ the exam.,A. to pass,B. in passing,C. on passing,D. pass,B,1,B. in passing,succeed in + 動名詞。,
questions_seed_300.sql,140,junior,She insisted ___ paying.,A. on,B. for,C. to,D. of,A,0,A. on,insist on + 動名詞。,
questions_seed_300.sql,141,junior,He prevented me ___ leaving.,A. from,B. to,C. for,D. of,A,0,A. from,prevent from + 動名詞。,
questions_seed_300.sql,142,junior,The rain stopped us ___ going out.,A. from,B. to,C. of,D. for,A,0,A. from,stop from + 動名詞。,
questions_seed_300.sql,143,junior,She is capable ___ the job.,A. to do,B. of doing,C. for doing,D. in do,B,1,B. of doing,capable of + 動名詞。,
questions_seed_300.sql,144,junior,He is used ___ early.,A. to get up,B. to getting up,C. of getting up,D. for getting up,B,1,B. to getting up,be used to + 動名詞表習慣。,
questions_seed_300.sql,145,junior,I'd prefer ___ at home tonight.,A. stay,B. to stay,C. staying,D. stayed,B,1,B. to stay,would prefer + to + 原形。,
questions_seed_300.sql,146,junior,"Rather than ___ , he walked.",A. wait,B. to wait,C. waiting,D. waited,A,0,A. wait,rather than + 原形。,
questions_seed_300.sql,147,junior,It ___ John who broke the vase.,A. is,B. was,C. were,D. are,B,1,B. was,分裂句 It was... who，過去事件。,
questions_seed_300.sql,148,junior,Little ___ about her past.,A. she knew,B. did she know,C. knew she,D. she did know,B,1,B. did she know,否定副詞 Little 開頭倒裝。,
questions_seed_300.sql,149,junior,Never ___ such a beautiful sunset.,A. I saw,B. have I seen,C. I have seen,D. did I saw,B,1,B. have I seen,Never 開頭現在完成倒裝。,
questions_seed_300.sql,150,junior,"The more you practice, ___ you become.",A. the more fluently,B. the more fluent,C. more fluent,D. most fluent,B,1,B. the more fluent,the more... the more 平行結構。,
questions_seed_300.sql,151,junior,He speaks English ___ a native speaker.,A. as fluent as,B. as fluently as,C. so fluent as,D. more fluent than,B,1,B. as fluently as,修飾動詞 speaks 用副詞比較 as fluently as。,
questions_seed_300.sql,152,college,The hypothesis was ___ by subsequent experiments.,A. refuted,B. refuting,C. refute,D. to refute,A,0,A. refuted,被動語態，假設被後續實驗駁回。,
questions_seed_300.sql,153,college,The study ___ a significant correlation between variables.,A. established,B. establishing,C. establish,D. to establish,A,0,A. established,過去研究「確立」相關，用過去式 established。,
questions_seed_300.sql,154,college,The author's argument is somewhat ___.,A. tenuous,B. tenuously,C. tenuity,D. tenuousness,A,0,A. tenuous,形容詞作補語：論證略顯薄弱 tenuous。,
questions_seed_300.sql,155,college,She gave a ___ account of the incident.,A. dispassionate,B. dispassionately,C. dispassion,D. dispassioning,A,0,A. dispassionate,名詞前用形容詞：客觀平實的敘述。,
questions_seed_300.sql,156,college,The policy has had ___ effects on small businesses.,A. deleterious,B. deleteriously,C. deleteriousness,D. deleteriate,A,0,A. deleterious,修飾名詞 effects 用形容詞 deleterious（有害）。,
questions_seed_300.sql,157,college,Such behavior is ___ to the organization's reputation.,A. inimical,B. inimically,C. inimic,D. inimicality,A,0,A. inimical,be inimical to 表示對…有害。,
questions_seed_300.sql,158,college,The results were ___ unexpected.,A. wholly,B. whole,C. wholeness,D. wholesome,A,0,A. wholly,修飾形容詞用副詞 wholly。,
questions_seed_300.sql,159,college,The theory remains ___.,A. contentious,B. contentiously,C. content,D. contention,A,0,A. contentious,remain + 形容詞：仍有爭議 contentious。,
questions_seed_300.sql,160,college,The paper lacks ___ rigor.,A. methodological,B. methodologically,C. methodology,D. method,A,0,A. methodological,名詞前用形容詞 methodological。,
questions_seed_300.sql,161,college,The evidence is ___.,A. inconclusive,B. inconclusively,C. inconclude,D. inconclusiveness,A,0,A. inconclusive,形容詞作補語：證據尚無定論。,
questions_seed_300.sql,162,college,He drew an ___ between the two cases.,A. analogy,B. analogous,C. analogously,D. analog,A,0,A. analogy,不定冠詞後接名詞 analogy。,
questions_seed_300.sql,163,college,The proposal was met with ___.,A. skepticism,B. skeptical,C. skeptically,D. skeptic,A,0,A. skepticism,介詞後接名詞 skepticism。,
questions_seed_300.sql,164,college,The finding ___ previous assumptions.,A. contradicts,B. contradict,C. contradicting,D. contradicted,A,0,A. contradicts,主詞單數，現在式 contradicts。,
questions_seed_300.sql,165,college,The variables were ___ controlled.,A. carefully,B. careful,C. carefulness,D. care,A,0,A. carefully,修飾過去分詞 controlled 用副詞。,
questions_seed_300.sql,166,college,The essay ___ several seminal works.,A. cites,B. cite,C. citing,D. cited,A,0,A. cites,現在簡單式或過去式；此處主詞第三人稱一般現在 cites。,
questions_seed_300.sql,167,college,Scholars have long ___ this interpretation.,A. disputed,B. dispute,C. disputing,D. disputes,A,0,A. disputed,現在完成式 have disputed。,
questions_seed_300.sql,168,college,The narrative ___ chronologically.,A. unfolds,B. unfold,C. unfolding,D. unfolded,A,0,A. unfolds,主詞單數，敘述依時間展開 unfolds。,
questions_seed_300.sql,169,college,The author ___ the reader's expectations.,A. subverts,B. subvert,C. subverting,D. subverted,A,0,A. subverts,第三人稱現在式 subverts。,
questions_seed_300.sql,170,college,The critique is ___ superficial.,A. unduly,B. undue,C. undies,D. undular,A,0,A. unduly,修飾形容詞 superficial 用副詞 unduly。,
questions_seed_300.sql,171,college,The methodology is not ___ reproducible.,A. readily,B. ready,C. readiness,D. reading,A,0,A. readily,修飾形容詞用副詞 readily。,
questions_seed_300.sql,172,college,The speaker ___ her main points clearly.,A. articulated,B. articulate,C. articulating,D. articulates,A,0,A. articulated,過去演講用 articulated。,
questions_seed_300.sql,173,college,The treaty ___ trade barriers.,A. dismantled,B. dismantle,C. dismantling,D. dismantles,A,0,A. dismantled,過去事件 dismantled。,
questions_seed_300.sql,174,college,Inflation has ___ consumer confidence.,A. eroded,B. erode,C. eroding,D. erodes,A,0,A. eroded,現在完成式 have eroded。,
questions_seed_300.sql,175,college,The CEO ___ responsibility for the failure.,A. accepted,B. accepts,C. accepting,D. accept,A,0,A. accepted,過去接受責任 accepted。,
questions_seed_300.sql,176,college,The committee's decision is ___.,A. binding,B. bind,C. bound,D. binds,A,0,A. binding,形容詞 binding 表示有約束力。,
questions_seed_300.sql,177,college,The contract shall ___ on the first of July.,A. take effect,B. take effects,C. take affecting,D. take effective,A,0,A. take effect,固定用法 take effect 生效。,
questions_seed_300.sql,178,college,The plaintiff ___ damages.,A. sought,B. seek,C. seeking,D. seeks,A,0,A. sought,訴訟過去尋求賠償 sought。,
questions_seed_300.sql,179,college,The court ___ the appeal.,A. dismissed,B. dismiss,C. dismissing,D. dismisses,A,0,A. dismissed,過去駁回 dismissed。,
questions_seed_300.sql,180,college,The statute is ___ to interpretation.,A. subject,B. subjective,C. subjected,D. subjecting,A,0,A. subject,be subject to 易於／須受…。,
questions_seed_300.sql,181,college,"Notwithstanding the risks, the board ___.",A. proceeded,B. proceed,C. proceeding,D. proceeds,A,0,A. proceeded,儘管風險仍進行，過去 proceeded。,
questions_seed_300.sql,182,college,The data ___ systematically biased.,A. appear,B. appears,C. appearing,D. appeared,A,0,A. appear,將 data 當複數時動詞用 appear（亦有出版物視為單數而用 appears）。,
questions_seed_300.sql,183,college,The phenomenon ___ further investigation.,A. warrants,B. warrant,C. warranting,D. warranted,A,0,A. warrants,現象「值得」進一步調查，第三人稱 warrants。,
questions_seed_300.sql,184,college,The implications are far-___.,A. reaching,B. reached,C. reach,D. reaches,A,0,A. reaching,複合形容詞 far-reaching 深遠的。,
